object	telescope	filter	aperture	utc	mjd	mag	mag_err	zp_mag	zp_mag_err	phase_angle	heliocentric_au	true_anomaly
C/2019 U5 	ATLAS-HKO	C_ATLAS	16	2015-10-19 06:41:50	57314.27905639111	19.932453843726282	0.4954899549484253	25.0788031367992	0.005	2.8694150512874765	18.48470627880218	232.74527842748714
C/2019 U5 	ATLAS-HKO	C_ATLAS	10	2015-10-20 07:24:48	57315.308894421105	20.076239057196744	0.4560278058052063	25.0028031367992	0.005	2.881434383277581	18.47948184624607	232.7531372450817
C/2019 U5 	ATLAS-HKO	C_ATLAS	10	2015-10-21 07:58:18	57316.332160841106	19.643394185675746	0.2917670011520386	25.0588031367992	0.005	2.8931545075612637	18.47429021899963	232.76094830386955
C/2019 U5 	ATLAS-HKO	C_ATLAS	16	2015-10-21 08:16:35	57316.344857941105	15.822807515753873	0.3199343681335449	25.0458031367992	0.005	2.8932984865290554	18.47422579735533	232.7610452403658
C/2019 U5 	ATLAS-HKO	C_ATLAS	10	2016-05-05 14:41:37	57513.612240501105	20.64317923307262	0.4968900978565216	25.7918031367992	0.005	3.210207529268166	17.46296113264745	234.34437430164752
C/2019 U5 	ATLAS-HKO	C_ATLAS	10	2016-06-03 13:32:06	57542.56396060111	20.237068160532335	0.4574972987174988	25.7678031367992	0.005	3.351794292276468	17.312747199837045	234.5930285663452
C/2019 U5 	ATLAS-HKO	C_ATLAS	10	2016-06-07 13:55:56	57546.58050989111	20.324966163156848	0.2779046595096588	25.8038031367992	0.005	3.3447332598337702	17.291870156389102	234.62786443377178
C/2019 U5 	ATLAS-HKO	C_ATLAS	16	2016-06-07 13:55:56	57546.58050989111	19.789114684580188	0.33538419008255005	25.8038031367992	0.005	3.3447332598337702	17.291870156389102	234.62786443377178
C/2019 U5 	ATLAS-HKO	C_ATLAS	10	2016-06-11 12:14:11	57550.50985557111	17.692446723459582	0.046498436480760574	25.7748031367992	0.005	3.3316474466433075	17.271437538262987	234.6620246523986
C/2019 U5 	ATLAS-HKO	C_ATLAS	16	2016-06-11 12:14:11	57550.50985557111	19.13182879972301	0.2138054519891739	25.7748031367992	0.005	3.3316474466433075	17.271437538262987	234.6620246523986
C/2019 U5 	ATLAS-HKO	C_ATLAS	10	2016-06-11 12:33:15	57550.52309040111	16.96854350232921	0.04267843812704086	25.4058031367992	0.005	3.3315933518781393	17.271368671373736	234.66213989778726
C/2019 U5 	ATLAS-HKO	C_ATLAS	16	2016-06-11 12:33:15	57550.52309040111	17.545582267282825	0.08315610140562057	25.4058031367992	0.005	3.3315933518781393	17.271368671373736	234.66213989778726
C/2019 U5 	ATLAS-HKO	C_ATLAS	10	2016-08-05 10:35:40	57605.44144256111	20.230994765756947	0.33826035261154175	25.8018031367992	0.005	2.809618931868474	16.984866338347675	235.14719448473707
C/2019 U5 	ATLAS-HKO	C_ATLAS	10	2016-08-25 09:46:31	57625.40730768111	19.96929813337169	0.2565983235836029	25.8438031367992	0.005	2.734867852489255	16.880274025990055	235.3275052507677
C/2019 U5 	ATLAS-HKO	C_ATLAS	16	2016-08-25 09:46:31	57625.40730768111	19.41194368314586	0.31911465525627136	25.8438031367992	0.005	2.734867852489255	16.880274025990055	235.3275052507677
C/2019 U5 	ATLAS-HKO	C_ATLAS	10	2016-08-25 10:14:24	57625.42667576111	19.527664432047228	0.22385269403457642	25.8438031367992	0.005	2.7348895341217947	16.880172476372145	235.32768134029283
C/2019 U5 	ATLAS-HKO	C_ATLAS	16	2016-08-25 10:14:24	57625.42667576111	18.916268596170763	0.2029506117105484	25.8438031367992	0.005	2.7348895341217947	16.880172476372145	235.32768134029283
C/2019 U5 	ATLAS-HKO	C_ATLAS	10	2016-08-25 10:32:24	57625.43917342111	19.620532138346057	0.2890811264514923	25.8418031367992	0.005	2.734903630501514	16.880106921473892	235.3277950151795
C/2019 U5 	ATLAS-HKO	C_ATLAS	16	2016-08-25 10:32:24	57625.43917342111	19.223639113901477	0.26909661293029785	25.8418031367992	0.005	2.734903630501514	16.880106921473892	235.3277950151795
C/2019 U5 	ATLAS-HKO	C_ATLAS	10	2016-08-25 10:40:51	57625.44504003111	19.30048182630382	0.1741626262664795	25.8408031367992	0.005	2.734910259759999	16.88007614672514	235.32784838017062
C/2019 U5 	ATLAS-HKO	C_ATLAS	16	2016-08-25 10:40:51	57625.44504003111	19.272695571421007	0.2685278058052063	25.8408031367992	0.005	2.734910259759999	16.88007614672514	235.32784838017062
C/2019 U5 	ATLAS-HKO	C_ATLAS	10	2016-08-25 11:05:29	57625.46214830111	19.578931331156117	0.22556154429912567	25.8338031367992	0.005	2.734929726425791	16.87998643338056	235.32800394874914
C/2019 U5 	ATLAS-HKO	C_ATLAS	16	2016-08-25 11:05:29	57625.46214830111	19.266285418985706	0.2817530632019043	25.8338031367992	0.005	2.734929726425791	16.87998643338056	235.32800394874914
C/2019 U5 	ATLAS-HKO	C_ATLAS	10	2016-09-29 07:37:51	57660.317953151105	20.230405623911242	0.31957077980041504	25.7918031367992	0.005	3.026539189951973	16.696829188076414	235.64914917178905
C/2019 U5 	ATLAS-HKO	C_ATLAS	10	2016-10-07 07:43:15	57668.32170255111	18.779125911234242	0.14627160131931305	25.7908031367992	0.005	3.1297400831588105	16.654669971714693	235.7239928124343
C/2019 U5 	ATLAS-HKO	C_ATLAS	16	2016-10-07 07:43:15	57668.32170255111	18.845154029367787	0.255539208650589	25.7908031367992	0.005	3.1297400831588105	16.654669971714693	235.7239928124343
C/2019 U5 	ATLAS-HKO	C_ATLAS	10	2016-10-25 06:22:47	57686.26582575111	20.144134627817493	0.2947539687156677	25.7958031367992	0.005	3.33298619329319	16.56001117600285	235.8932976884841
C/2019 U5 	ATLAS-HKO	C_ATLAS	10	2016-10-28 06:23:37	57689.26640235111	17.50105203962169	0.268058180809021	24.5528031367992	0.005	3.3591630662181604	16.544163641780393	235.9218304134911
